Unnamed: 0,Sepal.Width,Petal.Length,Petal.Width,Species
1,3.5,1.4,0.2,0.0
2,3.0,1.4,0.2,0.0
4,3.1,1.5,0.2,0.0
5,3.6,1.4,0.2,0.0
6,3.9,1.7,0.4,0.0
7,3.4,1.4,0.3,0.0
8,3.4,1.5,0.2,0.0
9,2.9,1.4,0.2,0.0
10,3.1,1.5,0.1,0.0
11,3.7,1.5,0.2,0.0
12,3.4,1.6,0.2,0.0
13,3.0,1.4,0.1,0.0
15,4.0,1.2,0.2,0.0
16,4.4,1.5,0.4,0.0
17,3.9,1.3,0.4,0.0
18,3.5,1.4,0.3,0.0
19,3.8,1.7,0.3,0.0
20,3.8,1.5,0.3,0.0
21,3.4,1.7,0.2,0.0
22,3.7,1.5,0.4,0.0
23,3.6,1.0,0.2,0.0
24,3.3,1.7,0.5,0.0
25,3.4,1.9,0.2,0.0
26,3.0,1.6,0.2,0.0
27,3.4,1.6,0.4,0.0
28,3.5,1.5,0.2,0.0
29,3.4,1.4,0.2,0.0
31,3.1,1.6,0.2,0.0
32,3.4,1.5,0.4,0.0
33,4.1,1.5,0.1,0.0
34,4.2,1.4,0.2,0.0
35,3.1,1.5,0.2,0.0
36,3.2,1.2,0.2,0.0
37,3.5,1.3,0.2,0.0
38,3.6,1.4,0.1,0.0
39,3.0,1.3,0.2,0.0
40,3.4,1.5,0.2,0.0
41,3.5,1.3,0.3,0.0
43,3.2,1.3,0.2,0.0
44,3.5,1.6,0.6,0.0
45,3.8,1.9,0.4,0.0
46,3.0,1.4,0.3,0.0
47,3.8,1.6,0.2,0.0
48,3.2,1.4,0.2,0.0
50,3.3,1.4,0.2,0.0
52,3.2,4.5,1.5,1.0
53,3.1,4.9,1.5,1.0
54,2.3,4.0,1.3,1.0
55,2.8,4.6,1.5,1.0
56,2.8,4.5,1.3,1.0
57,3.3,4.7,1.6,1.0
58,2.4,3.3,1.0,1.0
60,2.7,3.9,1.4,1.0
61,2.0,3.5,1.0,1.0
62,3.0,4.2,1.5,1.0
63,2.2,4.0,1.0,1.0
64,2.9,4.7,1.4,1.0
65,2.9,3.6,1.3,1.0
66,3.1,4.4,1.4,1.0
67,3.0,4.5,1.5,1.0
68,2.7,4.1,1.0,1.0
69,2.2,4.5,1.5,1.0
70,2.5,3.9,1.1,1.0
71,3.2,4.8,1.8,1.0
72,2.8,4.0,1.3,1.0
73,2.5,4.9,1.5,1.0
74,2.8,4.7,1.2,1.0
75,2.9,4.3,1.3,1.0
77,2.8,4.8,1.4,1.0
78,3.0,5.0,1.7,1.0
79,2.9,4.5,1.5,1.0
80,2.6,3.5,1.0,1.0
81,2.4,3.8,1.1,1.0
82,2.4,3.7,1.0,1.0
83,2.7,3.9,1.2,1.0
84,2.7,5.1,1.6,1.0
85,3.0,4.5,1.5,1.0
86,3.4,4.5,1.6,1.0
87,3.1,4.7,1.5,1.0
88,2.3,4.4,1.3,1.0
89,3.0,4.1,1.3,1.0
90,2.5,4.0,1.3,1.0
91,2.6,4.4,1.2,1.0
92,3.0,4.6,1.4,1.0
93,2.6,4.0,1.2,1.0
94,2.3,3.3,1.0,1.0
95,2.7,4.2,1.3,1.0
96,3.0,4.2,1.2,1.0
97,2.9,4.2,1.3,1.0
98,2.9,4.3,1.3,1.0
99,2.5,3.0,1.1,1.0
100,2.8,4.1,1.3,1.0
101,3.3,6.0,2.5,2.0
102,2.7,5.1,1.9,2.0
104,2.9,5.6,1.8,2.0
105,3.0,5.8,2.2,2.0
107,2.5,4.5,1.7,2.0
109,2.5,5.8,1.8,2.0
110,3.6,6.1,2.5,2.0
111,3.2,5.1,2.0,2.0
112,2.7,5.3,1.9,2.0
113,3.0,5.5,2.1,2.0
114,2.5,5.0,2.0,2.0
115,2.8,5.1,2.4,2.0
116,3.2,5.3,2.3,2.0
117,3.0,5.5,1.8,2.0
118,3.8,6.7,2.2,2.0
119,2.6,6.9,2.3,2.0
120,2.2,5.0,1.5,2.0
121,3.2,5.7,2.3,2.0
122,2.8,4.9,2.0,2.0
123,2.8,6.7,2.0,2.0
124,2.7,4.9,1.8,2.0
125,3.3,5.7,2.1,2.0
126,3.2,6.0,1.8,2.0
127,2.8,4.8,1.8,2.0
128,3.0,4.9,1.8,2.0
129,2.8,5.6,2.1,2.0
130,3.0,5.8,1.6,2.0
133,2.8,5.6,2.2,2.0
134,2.8,5.1,1.5,2.0
135,2.6,5.6,1.4,2.0
136,3.0,6.1,2.3,2.0
137,3.4,5.6,2.4,2.0
138,3.1,5.5,1.8,2.0
139,3.0,4.8,1.8,2.0
140,3.1,5.4,2.1,2.0
141,3.1,5.6,2.4,2.0
142,3.1,5.1,2.3,2.0
143,2.7,5.1,1.9,2.0
144,3.2,5.9,2.3,2.0
145,3.3,5.7,2.5,2.0
146,3.0,5.2,2.3,2.0
147,2.5,5.0,1.9,2.0
148,3.0,5.2,2.0,2.0
149,3.4,5.4,2.3,2.0
150,3.0,5.1,1.8,2.0
